type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43515.1,-81.75,-0.18751354742372442,1670574030,13:49:00.100207
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43517.95,-78.90000000000146,-0.18097637788051535,1670574032,13:49:01.474603
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43517.35,-79.5,-0.1823526241001357,1670574033,13:49:02.568356
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.65,-78.19999999999709,-0.1793707572909444,1670574034,13:49:03.965880
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.35,-78.5,-0.1800588804007629,1670574035,13:49:05.372041
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43514.4,-82.44999999999709,-0.1891191680132787,1670574037,13:49:07.059500
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43514.75,-82.09999999999854,-0.18831635771850158,1670574039,13:49:08.434555
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43515.95,-80.90000000000146,-0.1855638652792609,1670574040,13:49:09.528175
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43516.05,-80.79999999999563,-0.18533449090931026,1670574041,13:49:11.458395
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43517.65,-79.19999999999709,-0.18166450099031717,1670574043,13:49:12.864608
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.9,-77.94999999999709,-0.17879732136610121,1670574044,13:49:14.239566
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43521,-75.84999999999854,-0.17398045959742173,1670574046,13:49:15.367235
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43516.55,-80.29999999999563,-0.18418761905962389,1670574047,13:49:16.480264
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.2,-78.65000000000146,-0.18040294195567216,1670574048,13:49:17.870775
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43513.25,-83.59999999999854,-0.19175697326756072,1670574049,13:49:19.188455
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43515.55,-81.29999999999563,-0.18648136275899665,1670574051,13:49:20.578891
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43517.85,-79,-0.1812057522504493,1670574052,13:49:23.483463
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43515.45,-81.40000000000146,-0.18671073712894729,1670574055,13:49:24.808148
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43516.5,-80.34999999999854,-0.1843023062445992,1670574056,13:49:28.092913
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43511.55,-85.29999999999563,-0.19565633755648776,1670574059,13:49:29.386078
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43516.5,-80.34999999999854,-0.1843023062445992,1670574061,13:49:30.794410
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43521.25,-75.59999999999854,-0.17340702367257851,1670574062,13:49:31.895790
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43521.1,-75.75,-0.17375108522748778,1670574063,13:49:32.989429
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.75,-78.09999999999854,-0.17914138292101045,1670574064,13:49:34.373182
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43518.8,-78.04999999999563,-0.17902669573603514,1670574066,13:49:35.513654
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43522.8,-74.04999999999563,-0.16985172093854406,1670574067,13:49:36.623664
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43521.45,-75.40000000000146,-0.17294827493271062,1670574068,13:49:37.747890
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43520.75,-76.09999999999854,-0.1745538955222649,1670574069,13:49:38.857362
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43522.5,-74.34999999999854,-0.17053984404836253,1670574070,13:49:40.529108
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43526.55,-70.29999999999563,-0.1612501820658961,1670574072,13:49:41.638401
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43523.8,-73.04999999999563,-0.16755797723917126,1670574073,13:49:42.935277
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43525.2,-71.65000000000146,-0.16434673606006273,1670574074,13:49:44.028959
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43523.75,-73.09999999999854,-0.16767266442414658,1670574075,13:49:45.310213
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43524.5,-72.34999999999854,-0.165952356649617,1670574077,13:49:46.685253
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43524,-72.84999999999854,-0.16709922849930336,1670574078,13:49:47.794613
