type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43515.65,-117.79999999999563,-0.2699763598798528,1670816792,09:15:00.297570
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43516.95,-116.5,-0.2669969942784722,1670816794,09:15:01.438239
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43502,-131.4499999999971,-0.3012596986944583,1670816795,09:15:02.559505
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43505.35,-128.09999999999854,-0.29358210272164714,1670816796,09:15:03.715746
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43501.7,-131.75,-0.3019472446024782,1670816797,09:15:04.903243
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43500.4,-133.04999999999563,-0.3049266102038588,1670816798,09:15:06.278239
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43510.9,-122.54999999999563,-0.2808625034233957,1670816801,09:15:08.375435
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43510.7,-122.75,-0.2813208673620812,1670816802,09:15:09.516013
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43510.2,-123.25,-0.2824667772087699,1670816803,09:15:10.609806
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43509.3,-124.14999999999418,-0.28452941493279627,1670816804,09:15:11.784953
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43510.35,-123.09999999999854,-0.28212300425475995,1670816805,09:15:12.925582
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43511.25,-122.19999999999709,-0.2800603665307169,1670816806,09:15:14.066204
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43511.1,-122.34999999999854,-0.28040413948472687,1670816807,09:15:15.534949
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43522.8,-110.64999999999418,-0.2535898490722008,1670816809,09:15:16.682547
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43522.8,-110.64999999999418,-0.2535898490722008,1670816809,09:15:17.794957
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43519.9,-113.54999999999563,-0.2602361261829987,1670816811,09:15:18.951260
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43529.5,-103.94999999999709,-0.23823465712657857,1670816812,09:15:20.107511
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43526.85,-106.59999999999854,-0.24430797931403211,1670816813,09:15:21.201217
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43537.15,-96.29999999999563,-0.2207022364722378,1670816815,09:15:22.357509
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43535.35,-98.09999999999854,-0.22482751192032385,1670816816,09:15:23.482507
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43538.4,-95.04999999999563,-0.217837461855516,1670816817,09:15:24.623133
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43528.05,-105.39999999999418,-0.2415577956819692,1670816818,09:15:25.748139
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43527.25,-106.19999999999709,-0.24339125143667784,1670816819,09:15:26.857506
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43528.2,-105.25,-0.24121402272797593,1670816820,09:15:27.982418
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43526.6,-106.84999999999854,-0.2448809342373765,1670816821,09:15:29.107449
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43524.7,-108.75,-0.24923539165479697,1670816822,09:15:30.201278
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43516.35,-117.09999999999854,-0.2683720860944953,1670816824,09:15:31.341886
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43511.25,-122.19999999999709,-0.2800603665307169,1670816825,09:15:32.466884
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43509.3,-124.14999999999418,-0.28452941493279627,1670816826,09:15:33.607513
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43510.15,-123.29999999999563,-0.2825813681934288,1670816827,09:15:34.763631
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43509.65,-123.79999999999563,-0.2837272780401175,1670816828,09:15:35.888768
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43513.75,-119.69999999999709,-0.2743308172972733,1670816829,09:15:37.001436
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43511.95,-121.5,-0.2784560927453594,1670816830,09:15:38.173386
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43515.15,-118.29999999999563,-0.2711222697265416,1670816831,09:15:39.282759
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43514.8,-118.64999999999418,-0.2719244066192203,1670816833,09:15:40.423393
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43507.95,-125.5,-0.28762337151886913,1670816834,09:15:41.595181
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43509.05,-124.39999999999418,-0.2851023698561406,1670816835,09:15:42.725232
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43506.7,-126.75,-0.29048814613559093,1670816836,09:15:43.853631
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43502.9,-130.54999999999563,-0.2991970609704152,1670816837,09:15:44.994341
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43501.8,-131.64999999999418,-0.30171806263312706,1670816839,09:15:46.759979
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43495,-138.4499999999971,-0.31730243654810036,1670816840,09:15:48.025585
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43489.5,-143.9499999999971,-0.3299074448616763,1670816841,09:15:49.213013
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43482,-151.4499999999971,-0.34709609256200713,1670816843,09:15:50.572733
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43492.05,-141.39999999999418,-0.32406330464355715,1670816844,09:15:51.728982
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43489.55,-143.89999999999418,-0.32979285387700075,1670816845,09:15:52.857251
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43493.55,-139.89999999999418,-0.320625575103491,1670816846,09:15:54.013406
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43494.95,-138.5,-0.3174170275327759,1670816847,09:15:55.107248
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43499.3,-134.14999999999418,-0.3074476118665707,1670816848,09:15:56.232156
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43497.2,-136.25,-0.31226043322267666,1670816850,09:15:57.325996
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43500.25,-133.1999999999971,-0.30527038315786875,1670816851,09:15:58.419755
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43494.7,-138.75,-0.31798998245612026,1670816852,09:15:59.516879
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43487.35,-146.09999999999854,-0.33483485720244116,1670816853,09:16:00.641792
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43485.9,-147.54999999999563,-0.3381579957578318,1670816854,09:16:01.782511
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43484.8,-148.64999999999418,-0.34067899742054364,1670816855,09:16:02.938750
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43488.55,-144.89999999999418,-0.3320846735703782,1670816856,09:16:04.079379
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43488.75,-144.6999999999971,-0.3316263096317094,1670816857,09:16:05.239243
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43474.35,-159.09999999999854,-0.36462851321634787,1670816859,09:16:06.383230
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43474.25,-159.1999999999971,-0.36485769518568234,1670816860,09:16:07.492650
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43475.25,-158.1999999999971,-0.3625658754923049,1670816861,09:16:08.617598
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43471.8,-161.64999999999418,-0.37047265343445035,1670816862,09:16:09.711335
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43473.15,-160.29999999999563,-0.36737869684839414,1670816863,09:16:10.851952
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43473.2,-160.25,-0.3672641058637353,1670816864,09:16:11.992584
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43468.65,-164.79999999999563,-0.37769188546859267,1670816865,09:16:13.180174
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43467.7,-165.75,-0.37986911417731123,1670816867,09:16:14.320708
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43465.25,-168.1999999999971,-0.38548407242607935,1670816868,09:16:15.447832
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43463.95,-169.5,-0.3884634380274767,1670816869,09:16:16.541676
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43460.15,-173.29999999999563,-0.3971723528623009,1670816870,09:16:17.651045
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43459.95,-173.5,-0.3976307168009864,1670816871,09:16:18.807225
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43467.8,-165.64999999999418,-0.37963993220796016,1670816872,09:16:19.951866
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43462.1,-171.34999999999854,-0.3927033044602216,1670816873,09:16:21.092536
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43465.85,-167.59999999999854,-0.3841089806100562,1670816874,09:16:22.217570
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43462.6,-170.84999999999854,-0.39155739461353284,1670816876,09:16:23.373737
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43455.5,-177.9499999999971,-0.4078293144365094,1670816877,09:16:24.483209
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43452.05,-181.39999999999418,-0.4157360923786549,1670816878,09:16:25.608213
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43450.2,-183.25,-0.41997595881141647,1670816879,09:16:26.733181
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43450.7,-182.75,-0.41883004896472775,1670816880,09:16:27.873834
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43450.75,-182.6999999999971,-0.4187154579800522,1670816881,09:16:28.983209
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43451.4,-182.04999999999563,-0.41722577517935355,1670816882,09:16:30.092455
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43450.1,-183.34999999999854,-0.42020514078075094,1670816883,09:16:31.248735
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43445.8,-187.64999999999418,-0.43005996546226394,1670816885,09:16:32.342586
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43446.2,-187.25,-0.4291432375849263,1670816886,09:16:33.483077
LIVE_INDEX,BANKNIFTY,43455.85,43550.5,43422,43633.45,43445.7,-187.75,-0.430289147431615,1670816887,09:16:34.592583
