type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43489.05,-107.79999999999563,-0.24726557079237524,1670578090,14:56:40.319020
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43488.75,-108.09999999999854,-0.24795369390219374,1670578092,14:56:41.477272
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43491.15,-105.69999999999709,-0.24244870902369572,1670578093,14:56:43.668964
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43490.25,-106.59999999999854,-0.24451307835313454,1670578095,14:56:44.747079
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43490.5,-106.34999999999854,-0.2439396424282914,1670578096,14:56:45.818232
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43488.9,-107.94999999999709,-0.2476096323472845,1670578097,14:56:47.227536
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43484.55,-112.29999999999563,-0.2575874174395527,1670578102,14:56:51.358123
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43490.6,-106.25,-0.24371026805835744,1670578103,14:56:53.291111
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43486.8,-110.04999999999563,-0.25242649411596396,1670578105,14:56:54.447346
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43494.5,-102.34999999999854,-0.23476466763080028,1670578106,14:56:55.583428
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43493.7,-103.15000000000146,-0.23659966259030515,1670578107,14:56:57.817249
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43493.4,-103.44999999999709,-0.23728778570010697,1670578109,14:56:59.238774
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43491.3,-105.54999999999563,-0.24210464746878646,1670578111,14:57:00.621527
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.25,-99.59999999999854,-0.2284568724575251,1670578113,14:57:02.557496
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.9,-99.94999999999709,-0.22925968275230227,1670578114,14:57:04.007983
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43492.2,-104.65000000000146,-0.24004027813936432,1670578115,14:57:05.110009
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43501.15,-95.69999999999709,-0.21951127202996795,1670578117,14:57:07.022567
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.6,-98.25,-0.2253603184633752,1670578119,14:57:08.964244
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.65,-99.19999999999709,-0.2275393749777727,1670578120,14:57:10.361186
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43499.8,-97.04999999999563,-0.22260782602411788,1670578127,14:57:16.646584
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.55,-100.29999999999563,-0.2300624930470794,1670578129,14:57:19.097252
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43494.65,-102.19999999999709,-0.23442060607589102,1670578131,14:57:21.265543
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43493.9,-102.94999999999709,-0.2361409138504206,1670578133,14:57:22.635380
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43493.2,-103.65000000000146,-0.23774653443999158,1670578134,14:57:23.923535
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.3,-100.54999999999563,-0.23063592897192262,1670578135,14:57:25.073067
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43494.1,-102.75,-0.23568216511055273,1670578136,14:57:26.207371
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496,-100.84999999999854,-0.23132405208174112,1670578138,14:57:27.345277
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43495.35,-101.5,-0.23281498548633675,1670578139,14:57:28.581389
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.5,-99.34999999999854,-0.22788343653268195,1670578140,14:57:29.729472
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43494.2,-102.65000000000146,-0.23545279074061878,1670578141,14:57:31.100982
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.4,-99.44999999999709,-0.22811281090261587,1670578142,14:57:32.291970
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.7,-100.15000000000146,-0.22971843149218685,1670578144,14:57:33.598951
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43494.45,-102.40000000000146,-0.23487935481577557,1670578145,14:57:35.042196
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.9,-97.94999999999709,-0.2246721953535567,1670578147,14:57:37.204640
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.95,-98.90000000000146,-0.2268512518679709,1670578149,14:57:38.320907
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43499,-97.84999999999854,-0.22444282098362278,1670578150,14:57:39.713377
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.95,-99.90000000000146,-0.22914499556734363,1670578151,14:57:41.044567
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43496.4,-100.44999999999709,-0.23040655460198867,1670578153,14:57:43.664285
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.5,-98.34999999999854,-0.22558969283330918,1670578155,14:57:45.077529
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43499.15,-97.69999999999709,-0.22409875942871355,1670578157,14:57:46.411193
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43497.95,-98.90000000000146,-0.2268512518679709,1670578158,14:57:47.492402
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43500.25,-96.59999999999854,-0.2215756413594068,1670578159,14:57:48.586953
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.85,-98,-0.22478688253853205,1670578160,14:57:49.954765
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.35,-98.5,-0.22593375438821842,1670578161,14:57:51.211834
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43503.25,-93.59999999999854,-0.2146944102612885,1670578163,14:57:52.604271
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43500.55,-96.29999999999563,-0.2208875182495883,1670578164,14:57:53.912066
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43498.2,-98.65000000000146,-0.22627781594312768,1670578165,14:57:55.273766
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43500.6,-96.25,-0.2207728310646297,1670578167,14:57:56.687542
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43361.7,43596.85,43500.35,-96.5,-0.22134626698947288,1670578168,14:57:57.787653
