type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43562.9,-33.94999999999709,-0.07787259859369906,1670571234,13:02:24.241691
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43565.5,-31.349999999998545,-0.07190886497533319,1670571236,13:02:25.371783
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43567.65,-29.19999999999709,-0.06697731602167838,1670571237,13:02:26.757967
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43566.75,-30.099999999998545,-0.06904168535111721,1670571238,13:02:28.175001
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43566.45,-30.400000000001455,-0.06972980846093572,1670571240,13:02:29.513002
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43567.1,-29.75,-0.06823887505634009,1670571241,13:02:30.618564
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43566.3,-30.549999999995634,-0.0700738700158283,1670571242,13:02:32.008420
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43565.2,-31.650000000001455,-0.07259698808515169,1670571243,13:02:33.400982
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43562.8,-34.049999999995634,-0.07810197296363301,1670571245,13:02:34.698659
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43564.6,-32.25,-0.07397323430477203,1670571246,13:02:36.096141
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43512.75,43596.85,43566.9,-29.94999999999709,-0.06869762379620796,1670571247,13:02:37.199082
